Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
907-86-1046,Giza,Yangon,Member,Female,Health and beauty,19.89,1.0,0.9945,-2.5787,02/23/2019,16:07,Ewallet,19.89,4.761904762,0.9945,4.8
165-70-8344,Giza,Naypyitaw,Member,Female,Food and beverages,29.94,10.0,14.97,314.37,01/08/2019,15:54,Credit card,299.4,4.761904762,14.97,4.3
536-97-2768,Giza,Naypyitaw,Normal,Male,Electronic accessories,38.99,3.0,5.8485,122.8185,03/09/2019,09:29,Ewallet,116.97,4.761904762,5.8485,4.4
719-65-2624,Cairo,Yangon,Member,Female,Sports and travel,89.93,7.0,31.4755,660.9855,02/17/2019,04:43,Credit card,629.51,4.761904762,31.4755,6.0
168-21-2398,Alex,Mandalay,Member,Female,Health and beauty,60.07,10.0,30.035,630.735,02/24/2019,23:03,Credit card,600.7,4.761904762,30.035,9.7
714-49-6761,Alex,Naypyitaw,Member,Male,Fashion accessories,53.4,2.0,5.34,112.14,03/13/2019,19:39,Ewallet,106.8,4.761904762,5.34,6.1
758-81-1430,Cairo,Naypyitaw,Normal,Male,Health and beauty,34.59,5.0,8.6475,181.5975,03/23/2019,00:05,Ewallet,172.95,4.761904762,8.6475,9.5
643-37-7163,Giza,Mandalay,Normal,Male,Home and lifestyle,38.05,6.0,11.415,239.715,03/28/2019,02:17,Credit card,228.3,4.761904762,11.415,8.7
777-64-8957,Cairo,Mandalay,Normal,Female,Health and beauty,77.94,2.0,7.794,163.674,01/29/2019,12:38,Cash,155.88,4.761904762,7.794,6.1
107-36-5938,Alex,Yangon,Normal,Female,Home and lifestyle,20.8,8.0,8.32,174.72,02/15/2019,02:25,Ewallet,166.4,4.761904762,8.32,8.5
143-65-1307,Giza,Yangon,Normal,Female,Food and beverages,46.4,7.0,16.24,341.04,03/30/2019,11:05,Credit card,324.8,4.761904762,16.24,5.7
964-23-4986,Giza,Naypyitaw,Normal,Male,Sports and travel,88.35,6.0,26.505,556.605,02/14/2019,11:46,Ewallet,530.1,4.761904762,26.505,5.3
934-28-4871,Alex,Yangon,Normal,Male,Health and beauty,64.22,2.0,6.422,134.862,03/14/2019,20:40,Ewallet,128.44,4.761904762,6.422,5.1
430-90-6179,Alex,Mandalay,Member,Female,Sports and travel,66.82,5.0,16.705,337.6788,03/24/2019,02:39,Ewallet,334.1,4.761904762,16.705,7.5
619-59-8581,Cairo,Naypyitaw,Member,Female,Food and beverages,68.67,6.0,20.601,432.621,01/11/2019,16:41,Cash,412.02,4.761904762,20.601,7.6
140-41-8172,Giza,Naypyitaw,Member,Female,Home and lifestyle,92.61,7.0,32.4135,680.6835,01/13/2019,17:43,Credit card,648.27,4.761904762,32.4135,6.5
390-42-3463,Giza,Yangon,Member,Female,Home and lifestyle,97.09,7.0,33.9815,713.6115,01/17/2019,21:44,Ewallet,679.63,4.761904762,33.9815,4.8
801-77-2531,Cairo,Naypyitaw,Normal,Female,Electronic accessories,42.63,3.0,6.3945,134.2845,02/07/2019,03:32,Ewallet,127.89,4.761904762,6.3945,9.7
955-77-1618,Cairo,Mandalay,Member,Female,Health and beauty,24.6,10.0,12.3,258.3,02/26/2019,19:18,Ewallet,246.0,4.761904762,12.3,8.9
902-67-4833,Cairo,Yangon,Normal,Female,Health and beauty,43.11,10.0,21.555,452.655,01/26/2019,19:08,Credit card,431.1,4.761904762,21.555,9.9
153-92-8873,Giza,Naypyitaw,Member,Male,Home and lifestyle,17.55,3.0,2.6325,55.2825,02/27/2019,11:59,Cash,52.65,4.761904762,2.6325,5.6
524-16-7495,Cairo,Mandalay,Member,Female,Electronic accessories,43.74,1.0,2.187,-0.2427,03/02/2019,22:53,Cash,43.74,4.761904762,2.187,5.9
877-70-8349,Cairo,Yangon,Member,Male,Home and lifestyle,29.41,3.0,4.4115,92.6415,01/07/2019,07:26,Ewallet,88.23,4.761904762,4.4115,7.3
912-89-8489,Alex,Yangon,Normal,Male,Fashion accessories,56.38,,11.276,236.796,03/27/2019,02:33,Credit card,225.52,4.761904762,11.276,8.3
169-77-9914,Cairo,Naypyitaw,Member,Female,Sports and travel,13.92,,4.872,102.312,03/22/2019,03:49,Ewallet,97.44,4.761904762,4.872,9.9
852-52-3185,Alex,Mandalay,Normal,Male,Fashion accessories,51.82,8.0,20.728,435.288,01/06/2019,06:56,Cash,414.56,4.761904762,20.728,7.8
423-49-9444,Giza,Naypyitaw,Normal,Female,Electronic accessories,77.8,4.0,15.56,326.76,02/25/2019,12:47,Credit card,311.2,4.761904762,15.56,5.7
495-53-4060,Giza,Naypyitaw,Normal,Female,Food and beverages,34.0,2.0,3.4,71.4,01/11/2019,10:42,Credit card,68.0,4.761904762,3.4,8.4
413-67-7981,Alex,Naypyitaw,Normal,Female,Sports and travel,13.81,6.0,4.143,104.1214,03/07/2019,23:43,Cash,82.86,4.761904762,4.143,7.7
131-28-8179,Alex,Yangon,Member,Male,Fashion accessories,,7.0,15.0395,315.8295,01/10/2019,18:08,Ewallet,300.79,4.761904762,15.0395,9.7
475-60-6150,Cairo,Mandalay,Member,Male,Electronic accessories,76.21,8.0,30.484,640.164,03/20/2019,09:44,Credit card,609.68,4.761904762,30.484,7.1
304-25-3223,Alex,Mandalay,Member,Female,Electronic accessories,82.95,6.0,24.885,522.585,04/01/2019,22:40,Cash,497.7,4.761904762,24.885,8.0
912-56-9335,Alex,Yangon,Member,Male,Health and beauty,81.13,1.0,4.0565,123.6111,02/20/2019,22:46,Credit card,81.13,4.761904762,4.0565,6.2
638-62-7708,Cairo,Yangon,Member,Female,Fashion accessories,16.67,8.0,6.668,140.028,01/17/2019,13:32,Cash,133.36,4.761904762,6.668,8.1
951-25-9488,Alex,Mandalay,Member,Male,Home and lifestyle,94.13,4.0,18.826,395.346,03/12/2019,08:08,Ewallet,376.52,4.761904762,18.826,6.1
410-88-9740,Alex,Naypyitaw,Member,Male,Health and beauty,69.29,10.0,34.645,772.3997,02/03/2019,20:13,Ewallet,692.9,4.761904762,34.645,6.0
526-89-1496,Giza,Naypyitaw,Normal,Female,Sports and travel,32.04,7.0,11.214,235.494,03/19/2019,04:20,Ewallet,224.28,4.761904762,11.214,5.8
426-54-7532,Alex,Mandalay,Member,Female,Health and beauty,51.98,5.0,12.995,272.895,01/21/2019,10:59,Ewallet,259.9,4.761904762,12.995,6.7
838-50-4110,Alex,Mandalay,Normal,Female,Home and lifestyle,54.76,2.0,5.476,114.996,03/05/2019,19:56,Ewallet,109.52,4.761904762,5.476,9.7
788-70-5681,Cairo,Yangon,Member,Female,Health and beauty,89.42,6.0,26.826,563.346,01/10/2019,12:32,Credit card,536.52,4.761904762,26.826,8.6
882-80-5582,Cairo,Naypyitaw,Member,Male,Electronic accessories,45.45,6.0,13.635,286.335,01/05/2019,04:45,Credit card,272.7,4.761904762,13.635,7.3
923-70-9508,Giza,Yangon,Member,Female,Food and beverages,38.67,7.0,13.5345,284.2245,04/01/2019,18:19,Credit card,270.69,4.761904762,13.5345,9.9
935-12-7035,Giza,Naypyitaw,Member,Female,Food and beverages,37.69,1.0,1.8845,39.5745,01/07/2019,18:30,Cash,37.69,4.761904762,1.8845,7.6
636-90-7229,Alex,Naypyitaw,Member,Male,Food and beverages,95.34,2.0,9.534,200.214,03/20/2019,15:55,Ewallet,190.68,4.761904762,9.534,5.1
844-17-3262,Cairo,Yangon,Normal,Female,Food and beverages,43.91,3.0,6.5865,138.3165,03/30/2019,08:39,Credit card,131.73,4.761904762,6.5865,6.8
296-41-5571,Cairo,Mandalay,Member,Female,Home and lifestyle,73.44,8.0,29.376,616.896,03/28/2019,17:24,Credit card,587.52,4.761904762,29.376,5.9
938-54-3399,Giza,Yangon,Normal,Male,Home and lifestyle,93.16,5.0,23.29,489.09,01/14/2019,19:47,Ewallet,465.8,4.761904762,23.29,8.5
345-41-1831,Cairo,Naypyitaw,Member,Male,Electronic accessories,19.02,6.0,,119.826,02/22/2019,20:59,Credit card,114.12,4.761904762,5.706,8.3
588-93-4267,Giza,Mandalay,Normal,Male,Electronic accessories,68.71,4.0,13.742,288.582,01/23/2019,01:53,Credit card,274.84,4.761904762,13.742,7.2
906-73-4052,Cairo,Mandalay,Member,Male,Home and lifestyle,61.12,2.0,6.112,128.352,01/18/2019,16:29,Credit card,122.24,4.761904762,6.112,9.6
297-24-6417,Alex,Naypyitaw,Normal,Female,Fashion accessories,26.76,6.0,8.028,168.588,02/24/2019,16:20,Cash,160.56,4.761904762,8.028,8.7
877-70-8349,Cairo,Yangon,Member,Male,Home and lifestyle,29.41,3.0,4.4115,92.6415,01/07/2019,07:26,Ewallet,88.23,4.761904762,4.4115,7.3
468-98-4871,Alex,Naypyitaw,Member,Female,Home and lifestyle,24.37,9.0,10.9665,230.2965,02/17/2019,19:14,Cash,219.33,4.761904762,10.9665,9.5
236-71-3509,Giza,Naypyitaw,Normal,Female,Fashion accessories,59.43,8.0,23.772,499.212,01/11/2019,16:28,Ewallet,475.44,4.761904762,23.772,8.5
820-56-2279,Cairo,Yangon,Member,Male,Food and beverages,58.3,3.0,8.745,183.645,03/07/2019,14:51,Cash,174.9,4.761904762,8.745,6.0
564-26-9409,Giza,Mandalay,Member,Female,Fashion accessories,82.62,1.0,4.131,71.2039,01/08/2019,02:59,Credit card,82.62,4.761904762,4.131,6.4
132-46-7698,Alex,Yangon,Normal,Female,Sports and travel,50.37,7.0,17.6295,370.2195,01/23/2019,17:25,Ewallet,352.59,4.761904762,17.6295,6.3
230-38-1056,Alex,Mandalay,Normal,Female,Food and beverages,44.13,4.0,8.826,185.346,03/26/2019,13:39,Cash,176.52,4.761904762,8.826,5.5
346-36-2102,Alex,Naypyitaw,Member,Female,Food and beverages,,1.0,3.524,74.004,01/18/2019,16:18,Cash,70.48,4.761904762,3.524,5.5
935-83-6224,Cairo,Naypyitaw,Normal,Male,Home and lifestyle,88.86,9.0,39.987,839.727,03/22/2019,21:27,Ewallet,799.74,4.761904762,39.987,5.3
607-16-6642,Cairo,Naypyitaw,Normal,Female,Fashion accessories,47.47,3.0,7.1205,149.5305,01/19/2019,14:58,Cash,142.41,4.761904762,7.1205,5.8
675-62-7824,Cairo,Naypyitaw,Member,Female,Health and beauty,32.95,6.0,9.885,207.585,02/04/2019,12:43,Ewallet,197.7,4.761904762,9.885,7.9
717-15-2192,Alex,Naypyitaw,Member,Female,Health and beauty,88.25,6.0,26.475,555.975,03/03/2019,07:44,Ewallet,529.5,4.761904762,26.475,5.8
820-36-7498,Alex,Naypyitaw,Normal,Female,Sports and travel,51.96,6.0,15.588,327.348,02/10/2019,06:23,Credit card,311.76,4.761904762,15.588,5.9
523-15-4625,Cairo,Yangon,Member,Female,Food and beverages,94.13,10.0,47.065,988.365,03/12/2019,20:43,Credit card,941.3,4.761904762,47.065,8.3
363-72-9037,Giza,Yangon,Normal,Male,Health and beauty,74.83,8.0,29.932,628.572,01/10/2019,21:03,Cash,598.64,4.761904762,29.932,5.1
643-37-7163,Giza,Mandalay,Normal,Male,Home and lifestyle,38.05,6.0,11.415,239.715,03/28/2019,02:17,Credit card,228.3,4.761904762,11.415,8.7
664-62-1194,Alex,Naypyitaw,Normal,Female,Electronic accessories,55.2,7.0,19.32,374.9132,02/15/2019,08:50,Credit card,386.4,4.761904762,19.32,8.8
180-57-7652,Giza,Naypyitaw,Member,Male,Home and lifestyle,71.56,2.0,7.156,150.276,01/08/2019,20:00,Ewallet,143.12,4.761904762,7.156,7.9
275-20-9189,Giza,Naypyitaw,Normal,Male,Food and beverages,92.72,4.0,18.544,346.8588,03/11/2019,18:42,Cash,370.88,4.761904762,18.544,5.3
283-50-1256,Alex,Naypyitaw,Member,Female,Electronic accessories,36.93,10.0,18.465,387.765,01/18/2019,22:46,Cash,369.3,4.761904762,18.465,5.4
612-54-1879,Alex,Mandalay,Member,Male,Home and lifestyle,64.47,10.0,,676.935,03/04/2019,07:22,Ewallet,644.7,4.761904762,32.235,9.7
484-65-4043,Cairo,Naypyitaw,Normal,Male,Food and beverages,36.58,4.0,7.316,153.636,02/10/2019,11:06,Cash,146.32,4.761904762,7.316,8.3
105-49-8286,Giza,Mandalay,Member,Male,Electronic accessories,26.87,8.0,10.748,225.708,02/11/2019,12:00,Credit card,214.96,4.761904762,10.748,7.3
523-59-2387,Cairo,Naypyitaw,Member,Male,Fashion accessories,44.27,3.0,6.6405,139.4505,01/10/2019,11:16,Cash,132.81,4.761904762,6.6405,5.6
838-90-9123,Cairo,Naypyitaw,Member,Female,Electronic accessories,22.19,1.0,1.1095,23.2995,03/25/2019,19:08,Credit card,22.19,4.761904762,1.1095,9.7
428-87-4290,Giza,Mandalay,Member,Female,Home and lifestyle,36.23,8.0,14.492,304.332,03/14/2019,06:37,Ewallet,289.84,4.761904762,14.492,9.8
284-97-1440,Cairo,Mandalay,Member,Female,Home and lifestyle,84.82,2.0,8.482,178.122,03/26/2019,04:45,Credit card,169.64,4.761904762,8.482,8.9
908-58-2211,Giza,Naypyitaw,Normal,Female,Food and beverages,55.6,7.0,19.46,408.66,01/11/2019,03:49,Cash,389.2,4.761904762,19.46,7.3
773-95-6816,Alex,Naypyitaw,Member,Female,Home and lifestyle,96.91,7.0,33.9185,712.2885,01/29/2019,14:23,Credit card,678.37,4.761904762,33.9185,4.6
574-96-9199,Alex,Mandalay,Member,Female,Electronic accessories,36.59,2.0,3.659,76.839,03/03/2019,11:30,Cash,73.18,4.761904762,3.659,4.7
548-99-8412,Giza,Yangon,Normal,Male,Fashion accessories,20.36,6.0,6.108,128.268,01/21/2019,10:35,Credit card,122.16,4.761904762,6.108,7.9
573-39-7636,Cairo,Yangon,Member,Female,Sports and travel,12.63,10.0,,132.615,04/01/2019,02:36,Cash,126.3,4.761904762,6.315,9.3
918-78-4063,Giza,Mandalay,Member,Female,Electronic accessories,33.61,8.0,13.444,282.324,02/28/2019,19:11,Ewallet,268.88,4.761904762,13.444,7.2
822-48-2388,Cairo,Yangon,Normal,Male,Health and beauty,37.48,3.0,5.622,118.062,03/04/2019,20:34,Ewallet,112.44,4.761904762,5.622,6.2
760-32-3733,Giza,Mandalay,Member,Male,Home and lifestyle,85.78,,42.89,900.69,03/06/2019,20:31,Credit card,857.8,4.761904762,42.89,4.3
801-72-7809,Cairo,Mandalay,Normal,Male,Electronic accessories,60.89,4.0,12.178,255.738,03/05/2019,17:32,Cash,243.56,4.761904762,12.178,5.8
686-24-5389,Cairo,Mandalay,Member,Female,Food and beverages,29.67,7.0,10.3845,218.0745,02/14/2019,02:28,Cash,207.69,4.761904762,10.3845,4.6
894-40-4438,Cairo,Naypyitaw,Normal,Female,Health and beauty,65.45,4.0,13.09,274.89,04/01/2019,09:18,Ewallet,261.8,4.761904762,13.09,8.9
373-75-2560,Alex,Mandalay,Member,Female,Fashion accessories,21.42,3.0,3.213,67.473,03/15/2019,20:17,Ewallet,64.26,4.761904762,3.213,5.5
524-58-8405,Alex,Naypyitaw,Member,Female,Food and beverages,77.48,6.0,23.244,488.124,02/28/2019,20:42,Ewallet,464.88,4.761904762,23.244,6.7
466-18-9756,Giza,Yangon,Normal,Male,Sports and travel,34.17,5.0,8.5425,179.3925,01/07/2019,01:06,Ewallet,170.85,4.761904762,8.5425,6.0
902-68-1266,Alex,Yangon,Normal,Female,Electronic accessories,99.27,7.0,34.7445,729.6345,02/05/2019,02:41,Credit card,694.89,4.761904762,34.7445,5.2
356-20-7092,Cairo,Naypyitaw,Member,Male,Sports and travel,66.3,4.0,13.26,287.8279,02/26/2019,00:00,Ewallet,265.2,4.761904762,13.26,6.6
451-25-7919,Cairo,Yangon,Normal,Male,Health and beauty,44.48,2.0,4.448,93.408,03/24/2019,21:09,Cash,88.96,4.761904762,4.448,4.6
643-82-1138,Cairo,Naypyitaw,Member,Female,Home and lifestyle,75.02,3.0,11.253,236.313,01/16/2019,18:46,Credit card,225.06,4.761904762,11.253,9.5
459-64-6152,Alex,Yangon,Normal,Male,Health and beauty,59.81,10.0,,628.005,01/27/2019,16:38,Ewallet,598.1,4.761904762,29.905,8.3
293-60-5842,Cairo,Yangon,Member,Female,Sports and travel,20.15,8.0,,169.26,02/19/2019,18:26,Credit card,161.2,4.761904762,8.06,7.8
659-97-3830,Giza,Yangon,Member,Male,Electronic accessories,33.6,1.0,1.68,35.28,02/24/2019,22:25,Cash,33.6,4.761904762,1.68,9.5
755-78-9808,Cairo,Yangon,Normal,Male,Home and lifestyle,17.11,4.0,3.422,71.862,03/24/2019,02:19,Ewallet,68.44,4.761904762,3.422,9.8
547-40-1948,Alex,Yangon,Normal,Male,Sports and travel,65.11,1.0,3.2555,68.3655,01/21/2019,15:22,Ewallet,65.11,4.761904762,3.2555,5.9
629-43-3735,Giza,Yangon,Normal,Male,Electronic accessories,40.15,7.0,14.0525,290.6223,03/05/2019,18:10,Credit card,281.05,4.761904762,14.0525,5.6
261-42-2685,Cairo,Naypyitaw,Member,Male,Fashion accessories,,1.0,2.7895,58.5795,01/05/2019,17:51,Ewallet,55.79,4.761904762,2.7895,9.2
858-93-7870,Alex,Mandalay,Member,Female,Fashion accessories,38.79,2.0,3.879,81.459,01/06/2019,12:04,Credit card,77.58,4.761904762,3.879,7.4
986-46-6090,Giza,Yangon,Normal,Male,Home and lifestyle,28.06,10.0,14.03,294.63,01/26/2019,23:57,Ewallet,280.6,4.761904762,14.03,8.7
878-41-3466,Alex,Mandalay,Member,Male,Food and beverages,,1.0,2.059,43.239,03/09/2019,07:26,Credit card,41.18,4.761904762,2.059,9.7
