Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Total_Amount,calculated_sales,error,is_incorrect
305-39-6754,Cairo,Naypyitaw,Member,Female,Sports and travel,77.66,9.0,34.946999999999996,733.887,01/01/2019,16:00,Cash,698.94,4.761904762,34.947,5.5,698.9399999999999,733.887,0.0,False
248-44-4083,Alex,Mandalay,Normal,Female,Sports and travel,52.48,6.0,15.744,330.624,01/01/2019,07:12,Ewallet,314.88,4.761904762,15.744,9.8,314.88,330.624,0.0,False
793-67-3198,Alex,Naypyitaw,Normal,Male,Fashion accessories,65.0,8.0,26.0,517.2128,01/01/2019,19:34,Credit card,520.0,4.761904762,26.0,10.0,520.0,546.0,28.787199999999984,True
106-33-4097,Giza,Naypyitaw,Member,Male,Fashion accessories,81.57,3.0,12.2355,256.9455,01/01/2019,21:23,Ewallet,244.71,4.761904762,12.2355,4.4,244.70999999999998,256.9455,0.0,False
692-57-8252,Cairo,Mandalay,Normal,Male,Fashion accessories,92.08,7.0,32.228,676.788,01/01/2019,01:43,Credit card,644.56,4.761904762,32.228,4.5,644.56,676.7879999999999,1.1368683772161603e-13,False
124-68-6054,Alex,Naypyitaw,Member,Male,Health and beauty,63.53,1.0,3.1765000000000003,66.7065,01/01/2019,01:49,Credit card,63.53,4.761904762,3.1765,7.9,63.53,66.7065,0.0,False
109-78-3637,Alex,Yangon,Member,Female,Health and beauty,63.29,10.0,31.645,664.545,01/01/2019,21:19,Cash,632.9,4.761904762,31.645,5.5,632.9,664.545,0.0,False
650-49-1168,Cairo,Naypyitaw,Normal,Female,Health and beauty,61.51,4.0,12.302,258.342,01/01/2019,01:44,Ewallet,246.04,4.761904762,12.302,7.4,246.04,258.342,0.0,False
224-60-4123,Giza,Mandalay,Normal,Male,Health and beauty,68.09,4.0,13.618000000000002,285.978,01/01/2019,02:49,Ewallet,272.36,4.761904762,13.618,7.0,272.36,285.978,0.0,False
674-22-2280,Alex,Naypyitaw,Member,Female,Health and beauty,37.12,8.0,14.847999999999999,311.808,01/01/2019,01:03,Ewallet,296.96,4.761904762,14.848,4.4,296.96,311.808,0.0,False
180-48-1545,Giza,Naypyitaw,Member,Female,Fashion accessories,53.09,10.0,26.545000000000005,557.445,01/01/2019,01:00,Cash,530.9,4.761904762,26.545,4.4,530.9000000000001,557.445,0.0,False
737-18-7076,Giza,Naypyitaw,Normal,Female,Home and lifestyle,48.27,3.0,7.240500000000001,152.0505,01/01/2019,03:02,Ewallet,144.81,4.761904762,7.2405,9.7,144.81,152.0505,0.0,False
504-48-2442,Alex,Yangon,Normal,Female,Health and beauty,47.07,4.0,9.414,197.694,01/01/2019,19:38,Ewallet,188.28,4.761904762,9.414,7.3,188.28,197.694,0.0,False
161-63-1351,Giza,Naypyitaw,Normal,Female,Electronic accessories,24.21,8.0,9.684000000000001,203.364,01/01/2019,06:55,Credit card,193.68,4.761904762,9.684,5.7,193.68,203.364,0.0,False
850-85-7913,Giza,Mandalay,Normal,Male,Food and beverages,21.6,10.0,10.8,226.8,01/01/2019,01:02,Cash,216.0,4.761904762,10.8,9.5,216.0,226.8,0.0,False
730-37-8990,Giza,Mandalay,Member,Female,Fashion accessories,20.98,6.0,6.2940000000000005,132.174,01/01/2019,22:13,Ewallet,125.88,4.761904762,6.294,5.5,125.88,132.174,0.0,False
457-68-4872,Giza,Mandalay,Normal,Female,Sports and travel,64.73,7.0,22.655500000000004,475.7655,01/01/2019,10:41,Ewallet,453.11,4.761904762,22.6555,4.8,453.11,475.76550000000003,5.684341886080802e-14,False
520-32-5697,Giza,Mandalay,Member,Female,Food and beverages,14.13,3.0,2.1195,44.5095,01/01/2019,12:16,Ewallet,42.39,4.761904762,2.1195,8.7,42.39,44.5095,0.0,False
766-27-1686,Cairo,Yangon,Member,Male,Health and beauty,18.08,6.0,5.4239999999999995,113.904,01/01/2019,08:23,Cash,108.48,4.761904762,5.424,9.7,108.47999999999999,113.904,0.0,False
634-90-3970,Giza,Yangon,Normal,Male,Food and beverages,60.74,1.0,3.0370000000000004,63.777,01/01/2019,20:41,Ewallet,60.74,4.761904762,3.037,7.9,60.74,63.777,0.0,False
997-87-3805,Alex,Naypyitaw,Member,Female,Food and beverages,38.91,5.0,9.7275,204.2775,01/01/2019,02:57,Credit card,194.55,4.761904762,9.7275,5.7,194.54999999999998,204.27749999999997,2.842170943040401e-14,False
206-48-1881,Cairo,Naypyitaw,Member,Female,Health and beauty,49.86,8.0,19.944000000000003,418.824,01/01/2019,13:48,Cash,398.88,4.761904762,19.944,4.3,398.88,418.824,0.0,False
654-74-2577,Alex,Yangon,Member,Male,Sports and travel,25.53,1.0,1.2765000000000002,31.3557,01/01/2019,03:15,Ewallet,25.53,4.761904762,1.2765,9.2,25.53,26.8065,4.549199999999999,True
443-78-1979,Cairo,Mandalay,Member,Male,Electronic accessories,69.24,2.0,6.9239999999999995,106.3315,01/01/2019,05:31,Ewallet,138.48,4.761904762,6.924,7.8,138.48,145.404,39.07249999999999,True
318-72-5293,Cairo,Mandalay,Member,Female,Food and beverages,26.11,8.0,10.444,219.324,01/01/2019,19:07,Credit card,208.88,4.761904762,10.444,6.4,208.88,219.32399999999998,2.842170943040401e-14,False
384-52-9179,Cairo,Naypyitaw,Normal,Female,Home and lifestyle,77.64,6.0,23.292,489.132,01/01/2019,01:24,Ewallet,465.84,4.761904762,23.292,9.3,465.84000000000003,489.13200000000006,5.684341886080802e-14,False
659-51-4066,Alex,Naypyitaw,Normal,Female,Electronic accessories,12.35,2.0,1.235,25.935,01/01/2019,14:43,Credit card,24.7,4.761904762,1.235,4.3,24.7,25.935,0.0,False
754-26-5927,Giza,Yangon,Normal,Female,Electronic accessories,60.38,10.0,30.190000000000005,669.2046,01/01/2019,03:16,Credit card,603.8,4.761904762,30.19,7.0,603.8000000000001,633.9900000000001,35.214599999999905,True
500-74-1655,Cairo,Naypyitaw,Normal,Male,Food and beverages,40.02,1.0,2.0010000000000003,56.7935,01/01/2019,21:51,Credit card,40.02,4.761904762,2.001,4.2,40.02,42.021,14.7725,True
195-23-7176,Alex,Naypyitaw,Normal,Male,Food and beverages,12.36,10.0,6.18,129.78,01/01/2019,05:03,Credit card,123.6,4.761904762,6.18,9.0,123.6,129.78,0.0,False
188-74-1615,Cairo,Mandalay,Normal,Female,Home and lifestyle,17.01,3.0,2.5515000000000003,53.5815,01/01/2019,02:27,Cash,51.03,4.761904762,2.5515,5.7,51.03,53.5815,0.0,False
225-15-4726,Alex,Naypyitaw,Normal,Male,Sports and travel,11.84,5.0,2.9600000000000004,42.209,01/01/2019,15:57,Credit card,59.2,4.761904762,2.96,5.5,59.2,62.160000000000004,19.951,True
710-55-9461,Alex,Naypyitaw,Member,Male,Home and lifestyle,52.31,2.0,5.231000000000001,109.851,01/01/2019,17:43,Cash,104.62,4.761904762,5.231,4.6,104.62,109.851,0.0,False
205-39-7072,Cairo,Naypyitaw,Member,Male,Health and beauty,17.92,9.0,8.064000000000002,169.344,01/01/2019,11:17,Cash,161.28,4.761904762,8.064,7.7,161.28000000000003,169.34400000000002,2.842170943040401e-14,False
202-94-2938,Alex,Mandalay,Member,Male,Food and beverages,41.79,10.0,20.895,438.795,01/01/2019,04:27,Ewallet,417.9,4.761904762,20.895,4.9,417.9,438.79499999999996,5.684341886080802e-14,False
931-57-8960,Cairo,Yangon,Normal,Male,Food and beverages,90.25,6.0,27.075000000000003,568.575,01/01/2019,16:17,Ewallet,541.5,4.761904762,27.075,4.8,541.5,568.575,0.0,False
702-88-6914,Giza,Yangon,Member,Male,Home and lifestyle,78.92,5.0,19.730000000000004,414.33,01/01/2019,20:36,Credit card,394.6,4.761904762,19.73,7.7,394.6,414.33000000000004,5.684341886080802e-14,False
726-73-2883,Cairo,Yangon,Member,Male,Fashion accessories,29.44,4.0,5.888000000000001,115.9784,01/01/2019,00:34,Credit card,117.76,4.761904762,5.888,9.1,117.76,123.64800000000001,7.669600000000017,True
286-70-1526,Alex,Yangon,Normal,Female,Fashion accessories,24.19,2.0,2.4190000000000005,50.799,01/01/2019,11:13,Ewallet,48.38,4.761904762,2.419,4.3,48.38,50.79900000000001,7.105427357601002e-15,False
734-70-6600,Alex,Naypyitaw,Normal,Female,Health and beauty,16.74,3.0,2.511,52.731,01/01/2019,01:46,Credit card,50.22,4.761904762,2.511,8.5,50.22,52.731,0.0,False
203-57-9901,Cairo,Mandalay,Member,Female,Electronic accessories,86.06,8.0,34.424,722.904,01/01/2019,14:25,Ewallet,688.48,4.761904762,34.424,7.7,688.48,722.904,0.0,False
356-14-7655,Cairo,Mandalay,Member,Female,Electronic accessories,21.85,7.0,7.647500000000001,180.867,01/01/2019,02:04,Cash,152.95,4.761904762,7.6475,8.9,152.95000000000002,160.59750000000003,20.269499999999965,True
760-14-3502,Alex,Yangon,Member,Male,Home and lifestyle,17.94,6.0,5.3820000000000014,113.022,01/01/2019,04:41,Cash,107.64,4.761904762,5.382,7.1,107.64000000000001,113.02200000000002,1.4210854715202004e-14,False
898-88-8483,Cairo,Yangon,Member,Female,Electronic accessories,24.86,4.0,4.972,104.412,01/01/2019,23:28,Credit card,99.44,4.761904762,4.972,4.3,99.44,104.41199999999999,1.4210854715202004e-14,False
598-71-8899,Giza,Mandalay,Member,Male,Health and beauty,38.54,10.0,19.27,404.67,01/01/2019,08:05,Cash,385.4,4.761904762,19.27,8.1,385.4,404.66999999999996,5.684341886080802e-14,False
282-18-5187,Cairo,Naypyitaw,Normal,Female,Fashion accessories,66.57,9.0,29.956499999999995,629.0865,01/01/2019,08:47,Cash,599.13,4.761904762,29.9565,7.8,599.1299999999999,629.0864999999999,1.1368683772161603e-13,False
602-17-7074,Alex,Mandalay,Normal,Female,Fashion accessories,27.92,8.0,11.168000000000001,234.528,01/01/2019,19:05,Cash,223.36,4.761904762,11.168,4.5,223.36,234.52800000000002,2.842170943040401e-14,False
245-72-4734,Cairo,Mandalay,Member,Male,Sports and travel,82.5,10.0,41.25,866.25,01/01/2019,22:30,Ewallet,825.0,4.761904762,41.25,4.4,825.0,866.25,0.0,False
879-32-2029,Cairo,Yangon,Normal,Female,Food and beverages,44.83,7.0,15.6905,329.5005,01/01/2019,18:39,Cash,313.81,4.761904762,15.6905,4.6,313.81,329.5005,0.0,False
115-37-5681,Alex,Mandalay,Member,Female,Sports and travel,56.67,3.0,8.5005,178.5105,01/01/2019,00:52,Ewallet,170.01,4.761904762,8.5005,9.8,170.01,178.51049999999998,2.842170943040401e-14,False
200-68-3529,Giza,Yangon,Member,Male,Sports and travel,65.4,8.0,26.160000000000004,549.36,01/01/2019,00:52,Cash,523.2,4.761904762,26.16,6.1,523.2,549.36,0.0,False
707-41-2374,Alex,Mandalay,Normal,Male,Electronic accessories,79.07,5.0,19.7675,415.1175,01/01/2019,08:44,Cash,395.35,4.761904762,19.7675,6.5,395.34999999999997,415.11749999999995,5.684341886080802e-14,False
284-92-4643,Cairo,Mandalay,Member,Female,Sports and travel,33.66,3.0,5.0489999999999995,106.029,01/01/2019,16:52,Credit card,100.98,4.761904762,5.049,6.1,100.97999999999999,106.029,0.0,False
624-31-5924,Cairo,Naypyitaw,Member,Male,Health and beauty,69.71,1.0,3.4855,73.1955,01/01/2019,21:09,Cash,69.71,4.761904762,3.4855,9.8,69.71,73.1955,0.0,False
905-38-9147,Cairo,Yangon,Member,Female,Food and beverages,28.71,1.0,1.4355000000000002,30.1455,01/01/2019,17:44,Ewallet,28.71,4.761904762,1.4355,5.4,28.71,30.145500000000002,3.552713678800501e-15,False
484-41-8101,Giza,Mandalay,Member,Female,Health and beauty,22.3,3.0,3.3450000000000006,70.245,01/01/2019,20:56,Ewallet,66.9,4.761904762,3.345,6.5,66.9,70.245,0.0,False
492-48-5867,Giza,Yangon,Normal,Male,Health and beauty,51.34,3.0,7.7010000000000005,161.721,01/01/2019,08:21,Cash,154.02,4.761904762,7.701,7.8,154.02,161.721,0.0,False
679-78-9109,Cairo,Yangon,Normal,Male,Fashion accessories,38.75,5.0,9.6875,189.3387,01/01/2019,18:37,Credit card,193.75,4.761904762,9.6875,6.2,193.75,203.4375,14.098800000000011,True
149-84-2793,Giza,Mandalay,Member,Male,Home and lifestyle,87.27,10.0,43.635,916.335,01/01/2019,01:46,Cash,872.7,4.761904762,43.635,6.8,872.6999999999999,916.3349999999999,1.1368683772161603e-13,False
294-23-7085,Cairo,Yangon,Normal,Male,Electronic accessories,69.1,1.0,3.455,72.555,01/01/2019,20:52,Cash,69.1,4.761904762,3.455,6.9,69.1,72.55499999999999,1.4210854715202004e-14,False
582-81-8135,Cairo,Naypyitaw,Normal,Female,Health and beauty,65.07,4.0,13.014,273.294,01/01/2019,16:59,Cash,260.28,4.761904762,13.014,5.1,260.28,273.294,0.0,False
723-81-5022,Alex,Yangon,Normal,Male,Fashion accessories,60.18,8.0,24.072000000000003,505.512,01/01/2019,03:30,Cash,481.44,4.761904762,24.072,6.2,481.44,505.512,0.0,False
618-36-5727,Alex,Mandalay,Member,Male,Food and beverages,17.11,9.0,7.6995000000000005,161.6895,01/01/2019,07:18,Cash,153.99,4.761904762,7.6995,4.5,153.99,161.6895,0.0,False
694-44-1489,Cairo,Naypyitaw,Member,Female,Fashion accessories,60.67,7.0,21.2345,445.9245,01/01/2019,15:24,Ewallet,424.69,4.761904762,21.2345,7.6,424.69,445.9245,0.0,False
300-18-2369,Alex,Yangon,Member,Female,Fashion accessories,90.02,4.0,18.004,378.084,01/02/2019,05:35,Cash,360.08,4.761904762,18.004,5.3,360.08,378.084,0.0,False
375-24-4436,Giza,Mandalay,Normal,Male,Home and lifestyle,38.6,1.0,1.9300000000000002,40.53,01/02/2019,18:20,Credit card,38.6,4.761904762,1.93,6.8,38.6,40.53,0.0,False
121-35-9983,Cairo,Mandalay,Member,Female,Fashion accessories,66.96,3.0,10.044,210.924,01/02/2019,05:21,Cash,200.88,4.761904762,10.044,6.8,200.88,210.924,0.0,False
677-86-4207,Cairo,Naypyitaw,Normal,Male,Sports and travel,63.07,6.0,18.921000000000003,397.341,01/02/2019,10:33,Credit card,378.42,4.761904762,18.921,4.6,378.42,397.341,0.0,False
792-34-9999,Cairo,Yangon,Member,Male,Home and lifestyle,74.19,10.0,37.095,813.9932,01/02/2019,01:38,Cash,741.9,4.761904762,37.095,7.4,741.9,778.995,34.9982,True
212-28-8868,Alex,Naypyitaw,Member,Male,Food and beverages,74.41,7.0,26.0435,546.9135,01/02/2019,22:41,Ewallet,520.87,4.761904762,26.0435,4.3,520.87,546.9135,0.0,False
337-11-4469,Alex,Yangon,Normal,Male,Food and beverages,44.69,9.0,20.110500000000002,422.3205,01/02/2019,14:58,Ewallet,402.21,4.761904762,20.1105,4.5,402.21,422.3205,0.0,False
472-96-6080,Giza,Mandalay,Normal,Female,Food and beverages,22.71,8.0,9.084000000000001,190.764,01/02/2019,06:43,Cash,181.68,4.761904762,9.084,5.6,181.68,190.764,0.0,False
493-75-1444,Cairo,Mandalay,Normal,Female,Sports and travel,28.78,4.0,5.756,120.876,01/02/2019,09:29,Ewallet,115.12,4.761904762,5.756,6.8,115.12,120.876,0.0,False
989-80-4751,Alex,Naypyitaw,Normal,Female,Health and beauty,34.15,4.0,6.83,143.43,01/02/2019,20:40,Ewallet,136.6,4.761904762,6.83,7.6,136.6,143.43,0.0,False
425-17-6491,Cairo,Mandalay,Normal,Female,Food and beverages,42.5,9.0,19.125,401.625,01/02/2019,15:17,Credit card,382.5,4.761904762,19.125,7.6,382.5,401.625,0.0,False
183-38-2741,Giza,Mandalay,Member,Female,Home and lifestyle,26.51,4.0,5.3020000000000005,111.342,01/02/2019,02:00,Ewallet,106.04,4.761904762,5.302,6.5,106.04,111.34200000000001,1.4210854715202004e-14,False
520-41-8349,Giza,Mandalay,Member,Female,Home and lifestyle,17.91,8.0,7.164000000000001,150.444,01/02/2019,02:43,Cash,143.28,4.761904762,7.164,8.2,143.28,150.444,0.0,False
137-88-2240,Giza,Yangon,Normal,Female,Electronic accessories,64.93,6.0,19.479000000000003,409.059,01/02/2019,19:45,Cash,389.58,4.761904762,19.479,6.9,389.58000000000004,409.059,0.0,False
748-78-5778,Giza,Mandalay,Normal,Male,Health and beauty,62.82,5.0,15.705000000000002,334.3271,01/02/2019,19:38,Ewallet,314.1,4.761904762,15.705,8.6,314.1,329.805,4.522099999999966,True
773-80-3769,Giza,Yangon,Member,Male,Food and beverages,76.62,2.0,7.662000000000001,160.902,01/02/2019,07:34,Ewallet,153.24,4.761904762,7.662,9.3,153.24,160.90200000000002,2.842170943040401e-14,False
612-62-9592,Alex,Yangon,Member,Male,Electronic accessories,99.75,1.0,4.987500000000001,104.7375,01/02/2019,07:44,Credit card,99.75,4.761904762,4.9875,7.5,99.75,104.7375,0.0,False
875-38-2520,Cairo,Mandalay,Normal,Male,Electronic accessories,83.53,4.0,16.706,350.826,01/02/2019,03:59,Cash,334.12,4.761904762,16.706,9.9,334.12,350.826,0.0,False
883-28-7500,Cairo,Naypyitaw,Normal,Male,Electronic accessories,51.86,9.0,23.337000000000003,490.077,01/02/2019,00:37,Ewallet,466.74,4.761904762,23.337,9.6,466.74,490.077,0.0,False
937-89-7449,Giza,Yangon,Member,Female,Fashion accessories,80.01,6.0,24.003000000000004,504.063,01/02/2019,05:09,Ewallet,480.06,4.761904762,24.003,5.7,480.06000000000006,504.06300000000005,5.684341886080802e-14,False
202-99-9780,Giza,Yangon,Member,Female,Health and beauty,62.41,6.0,18.723,393.183,01/02/2019,15:51,Ewallet,374.46,4.761904762,18.723,4.6,374.46,393.183,0.0,False
332-24-8584,Cairo,Mandalay,Normal,Female,Sports and travel,94.87,4.0,18.974,398.454,01/02/2019,07:06,Ewallet,379.48,4.761904762,18.974,4.9,379.48,398.454,0.0,False
145-51-4818,Alex,Mandalay,Member,Female,Food and beverages,29.62,4.0,5.924,124.404,01/02/2019,21:22,Ewallet,118.48,4.761904762,5.924,8.1,118.48,124.40400000000001,1.4210854715202004e-14,False
904-33-8243,Alex,Naypyitaw,Normal,Male,Health and beauty,90.69,8.0,36.276,811.7382,01/02/2019,04:00,Ewallet,725.52,4.761904762,36.276,7.8,725.52,761.7959999999999,49.94220000000007,True
961-72-9449,Alex,Yangon,Member,Female,Home and lifestyle,96.29,7.0,33.7015,742.7173,01/02/2019,03:07,Cash,674.03,4.761904762,33.7015,4.8,674.0300000000001,707.7315000000001,34.98579999999993,True
990-96-7520,Cairo,Naypyitaw,Member,Male,Electronic accessories,91.21,8.0,36.484,766.164,01/02/2019,20:13,Credit card,729.68,4.761904762,36.484,6.7,729.68,766.164,0.0,False
881-85-4586,Cairo,Naypyitaw,Normal,Female,Fashion accessories,85.56,7.0,29.946000000000005,628.866,01/02/2019,22:35,Credit card,598.92,4.761904762,29.946,6.2,598.9200000000001,628.8660000000001,1.1368683772161603e-13,False
569-21-4374,Alex,Yangon,Member,Female,Health and beauty,71.83,6.0,21.549000000000003,452.529,01/02/2019,22:52,Credit card,430.98,4.761904762,21.549,4.3,430.98,452.529,0.0,False
650-57-6568,Cairo,Yangon,Member,Female,Electronic accessories,64.24,7.0,22.483999999999998,472.164,01/02/2019,13:50,Ewallet,449.68,4.761904762,22.484,7.6,449.67999999999995,472.16399999999993,5.684341886080802e-14,False
930-49-7857,Giza,Naypyitaw,Member,Female,Health and beauty,47.16,9.0,21.221999999999998,445.662,01/02/2019,16:32,Ewallet,424.44,4.761904762,21.222,7.4,424.43999999999994,445.6619999999999,5.684341886080802e-14,False
938-12-5762,Alex,Naypyitaw,Member,Male,Electronic accessories,19.0,6.0,5.7,119.7,01/02/2019,11:19,Ewallet,114.0,4.761904762,5.7,6.7,114.0,119.7,0.0,False
480-54-6828,Giza,Yangon,Normal,Female,Electronic accessories,82.98,6.0,24.894000000000002,522.774,01/02/2019,09:02,Cash,497.88,4.761904762,24.894,9.7,497.88,522.774,0.0,False
625-15-3671,Alex,Mandalay,Member,Female,Electronic accessories,26.25,8.0,10.5,256.7316,01/02/2019,07:33,Cash,210.0,4.761904762,10.5,9.8,210.0,220.5,36.231600000000014,True
148-54-7082,Cairo,Mandalay,Normal,Male,Food and beverages,73.69,1.0,3.6845,77.3745,01/02/2019,23:47,Ewallet,73.69,4.761904762,3.6845,7.9,73.69,77.3745,0.0,False
411-29-9568,Cairo,Mandalay,Normal,Male,Fashion accessories,40.6,10.0,20.3,426.3,01/02/2019,09:09,Ewallet,406.0,4.761904762,20.3,5.1,406.0,426.3,0.0,False
752-11-1023,Alex,Yangon,Normal,Female,Health and beauty,76.29,5.0,19.0725,400.5225,01/02/2019,07:38,Ewallet,381.45,4.761904762,19.0725,6.0,381.45000000000005,400.52250000000004,5.684341886080802e-14,False
967-19-6296,Cairo,Mandalay,Member,Male,Food and beverages,20.32,4.0,4.064,85.344,01/02/2019,09:44,Credit card,81.28,4.761904762,4.064,6.7,81.28,85.344,0.0,False
499-61-8963,Giza,Naypyitaw,Member,Female,Fashion accessories,36.78,1.0,1.8390000000000002,38.619,01/02/2019,12:58,Credit card,36.78,4.761904762,1.839,9.8,36.78,38.619,0.0,False
354-39-3854,Giza,Mandalay,Member,Male,Fashion accessories,72.0,9.0,32.4,680.4,01/02/2019,02:45,Credit card,648.0,4.761904762,32.4,8.0,648.0,680.4,0.0,False
231-32-6510,Cairo,Yangon,Member,Male,Health and beauty,96.29,3.0,14.4435,303.3135,01/02/2019,07:43,Cash,288.87,4.761904762,14.4435,6.2,288.87,303.3135,0.0,False
391-66-7321,Giza,Yangon,Member,Male,Fashion accessories,85.8,2.0,8.58,180.18,01/02/2019,12:04,Ewallet,171.6,4.761904762,8.58,7.4,171.6,180.18,0.0,False
659-61-5260,Giza,Naypyitaw,Member,Male,Electronic accessories,50.62,6.0,15.186,318.906,01/02/2019,17:11,Cash,303.72,4.761904762,15.186,7.1,303.71999999999997,318.90599999999995,5.684341886080802e-14,False
562-45-4430,Alex,Naypyitaw,Member,Female,Electronic accessories,21.65,7.0,7.5775,129.0689,01/02/2019,10:48,Ewallet,151.55,4.761904762,7.5775,7.8,151.54999999999998,159.12749999999997,30.058599999999956,True
243-83-2008,Cairo,Mandalay,Normal,Female,Electronic accessories,25.17,8.0,10.068000000000001,211.428,01/02/2019,19:13,Cash,201.36,4.761904762,10.068,8.5,201.36,211.42800000000003,2.842170943040401e-14,False
934-14-5509,Cairo,Mandalay,Member,Female,Sports and travel,26.29,5.0,6.5725,138.0225,01/02/2019,00:50,Ewallet,131.45,4.761904762,6.5725,6.8,131.45,138.02249999999998,2.842170943040401e-14,False
425-35-8712,Giza,Mandalay,Member,Male,Home and lifestyle,78.16,3.0,11.724,246.204,01/02/2019,09:05,Ewallet,234.48,4.761904762,11.724,4.2,234.48,246.20399999999998,2.842170943040401e-14,False
241-87-5264,Giza,Mandalay,Normal,Male,Electronic accessories,46.77,9.0,21.0465,441.9765,01/02/2019,05:07,Credit card,420.93,4.761904762,21.0465,9.9,420.93,441.9765,0.0,False
248-96-7396,Giza,Mandalay,Member,Female,Health and beauty,97.9,4.0,19.580000000000002,411.18,01/02/2019,11:02,Credit card,391.6,4.761904762,19.58,9.7,391.6,411.18,0.0,False
